"HOUSEID","VEHID","VEHYEAR","MAKE","HHVEHCNT","VEHTYPE","VEHFUEL","VEHCOMMERCIAL","VEHCOM_RS","VEHCOM_DEL","VEHCOM_OTH","COMMERCIALFREQ","HHVEHUSETIME_RS","HHVEHUSETIME_DEL","HHVEHUSETIME_OTH","VEHOWNED","WHOMAIN","VEHCASEID","ANNMILES","HYBRID","VEHAGE","VEHOWNMO","NUMADLT","HOMEOWN","RAIL","CENSUS_D","CENSUS_R","HH_HISP","DRVRCNT","CDIVMSAR","HHFAMINC","HH_RACE","HHSIZE","LIF_CYC","MSACAT","MSASIZE","TRAVDAY","URBAN","URBANSIZE","URBRUR","TDAYDATE","WRKCOUNT","STRATUMID","WTHHFIN","WTHHFIN5D","WTHHFIN2D","HHFAMINC_IMP"
"9000013167","02",2021,"49",2,"03","06","02","-1","-1","-1","-1","-1","-1","-1","02","03","900001316702",320,"01",1,"03",3,"01","01","01","01","02",3,"11","08","01",4,"04","01","05","02","01","04","01","202202",2,"1021",8463.30747576193,11188.3821244975,0,"08"
"9000013183","01",2013,"37",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001318301",12000,"02",9,"-1",2,"01","02","01","01","02",2,"13","07","01",6,"06","03","03","05","01","02","01","202203",2,"1021",21794.6357571467,28844.7915212834,0,"07"
"9000013183","02",2021,"49",2,"02","06","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001318302",15000,"01",1,"-1",2,"01","02","01","01","02",2,"13","07","01",6,"06","03","03","05","01","02","01","202203",2,"1021",21794.6357571467,28844.7915212834,0,"07"
"9000013206","01",2020,"42",1,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001320601",9000,"02",2,"-1",1,"03","01","01","01","01",1,"11","04","01",3,"05","01","05","03","01","04","01","202202",1,"1021",24471.1189741347,31074.4521073917,0,"04"
"9000013216","01",2014,"30",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","02","01","900001321601",8727,"02",8,"11",1,"01","01","01","01","02",1,"11","09","01",1,"01","01","05","02","01","04","01","202201",1,"1021",4618.97664421603,6053.11410026535,0,"09"
"9000013237","01",2012,"48",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001323701",10000,"02",10,"-1",2,"01","02","01","01","02",2,"13","11","01",2,"02","03","01","07","04","06","02","202202",2,"1022",45712.8643048857,0,74358.9772920293,"11"
"9000013237","02",2021,"34",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","02","01","900001323702",8000,"02",1,"03",2,"01","02","01","01","02",2,"13","11","01",2,"02","03","01","07","04","06","02","202202",2,"1022",45712.8643048857,0,74358.9772920293,"11"
"9000013246","01",2017,"51",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001324601",20000,"02",5,"-1",1,"01","02","01","01","02",1,"13","11","01",1,"01","03","01","05","02","06","01","202202",1,"1022",10072.0905770095,24502.323533568,0,"11"
"9000013255","01",2005,"22",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001325501",3000,"02",17,"-1",2,"02","02","01","01","02",2,"13","07","01",2,"10","03","01","01","01","01","01","202202",0,"1022",7406.80128191793,0,10665.6493516409,"07"
"9000013255","02",2013,"55",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001325502",10000,"02",9,"-1",2,"02","02","01","01","02",2,"13","07","01",2,"10","03","01","01","01","01","01","202202",0,"1022",7406.80128191793,0,10665.6493516409,"07"
"9000013256","01",2014,"49",1,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001325601",69647,"02",8,"-1",1,"01","02","01","01","02",1,"14","09","01",1,"09","04","06","02","04","06","02","202202",0,"1022",3729.17802176244,7830.61761830971,0,"09"
"9000013265","01",2015,"49",2,"04","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001326501",60000,"02",7,"-1",2,"01","02","01","01","02",2,"14","05","01",2,"10","04","06","04","04","06","02","202211",0,"1022",5669.21500953771,11706.5639121327,0,"05"
"9000013265","02",2012,"49",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001326502",4000,"02",10,"-1",2,"01","02","01","01","02",2,"14","05","01",2,"10","04","06","04","04","06","02","202211",0,"1022",5669.21500953771,11706.5639121327,0,"05"
"9000013267","01",2013,"20",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","02","01","900001326701",3000,"02",9,"01",1,"03","02","01","01","02",1,"13","04","01",1,"09","03","01","04","04","06","02","202202",0,"1022",3757.48314864822,6943.92014447059,0,"04"
"9000013268","01",2006,"51",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001326801",12000,"02",16,"-1",2,"01","02","01","01","02",2,"13","06","01",4,"06","03","01","01","02","06","01","202202",2,"1022",7256.86053505816,0,13084.166214923,"06"
"9000013268","02",2006,"54",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001326802",13000,"02",16,"-1",2,"01","02","01","01","02",2,"13","06","01",4,"06","03","01","01","02","06","01","202202",2,"1022",7256.86053505816,0,13084.166214923,"06"
"9000013269","01",2014,"02",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001326901",10000,"02",8,"-1",2,"02","02","01","01","02",2,"13","06","01",2,"10","03","01","06","01","03","01","202202",0,"1022",6069.60695939399,11851.4454442179,0,"06"
"9000013269","02",2015,"48",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001326902",10000,"02",7,"-1",2,"02","02","01","01","02",2,"13","06","01",2,"10","03","01","06","01","03","01","202202",0,"1022",6069.60695939399,11851.4454442179,0,"06"
"9000013284","01",2018,"06",3,"02","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001328401",3500,"02",4,"-1",3,"01","02","01","01","02",3,"14","11","01",3,"02","04","06","06","02","06","01","202202",3,"1022",6467.82015448182,15108.1491788164,0,"11"
"9000013284","02",2016,"12",3,"04","01","02","-1","-1","-1","-1","-1","-1","-1","02","01","900001328402",4000,"02",6,"06",3,"01","02","01","01","02",3,"14","11","01",3,"02","04","06","06","02","06","01","202202",3,"1022",6467.82015448182,15108.1491788164,0,"11"
"9000013284","03",2009,"02",3,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","03","900001328403",2500,"02",13,"-1",3,"01","02","01","01","02",3,"14","11","01",3,"02","04","06","06","02","06","01","202202",3,"1022",6467.82015448182,15108.1491788164,0,"11"
"9000013285","01",2004,"49",2,"04","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001328501",8000,"02",18,"-1",1,"01","02","01","01","02",1,"14","03","01",1,"01","04","06","01","04","06","02","202202",0,"1022",3343.59872175872,0,5980.91057932664,"03"
"9000013285","02",2005,"32",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001328502",8000,"02",17,"-1",1,"01","02","01","01","02",1,"14","03","01",1,"01","04","06","01","04","06","02","202202",0,"1022",3343.59872175872,0,5980.91057932664,"03"
"9000013287","01",2013,"51",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001328701",13000,"02",9,"-1",2,"02","02","01","01","02",2,"14","07","01",2,"10","04","06","03","04","06","02","202202",1,"1022",5446.90849645207,10925.9340698112,0,"07"
"9000013287","02",2019,"51",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","02","02","900001328702",15818,"02",3,"11",2,"02","02","01","01","02",2,"14","07","01",2,"10","04","06","03","04","06","02","202202",1,"1022",5446.90849645207,10925.9340698112,0,"07"
"9000013293","01",2015,"49",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001329301",8000,"02",7,"-1",2,"01","02","01","01","02",2,"13","06","01",2,"10","03","01","01","04","06","02","202202",1,"1022",5047.53149829014,0,8896.52160039186,"06"
"9000013293","02",2014,"49",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001329302",6000,"02",8,"-1",2,"01","02","01","01","02",2,"13","06","01",2,"10","03","01","01","04","06","02","202202",1,"1022",5047.53149829014,0,8896.52160039186,"06"
"9000013313","01",2013,"12",1,"01","06","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001331301",4200,"01",9,"-1",1,"02","02","02","01","02",1,"22","02","01",1,"09","02","04","06","01","03","01","202201",0,"1023",12555.1874086945,15490.7074247559,0,"02"
"9000013356","01",2013,"37",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","-9","900001335601",9000,"02",9,"-1",2,"01","01","02","01","02",2,"21","07","01",2,"10","01","05","01","01","04","01","202202",0,"1023",3624.02816988742,0,11070.9463044382,"07"
"9000013356","02",2017,"49",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001335602",5000,"02",5,"-1",2,"01","01","02","01","02",2,"21","07","01",2,"10","01","05","01","01","04","01","202202",0,"1023",3624.02816988742,0,11070.9463044382,"07"
"9000013360","01",2018,"20",4,"04","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001336001",12000,"02",4,"-1",4,"01","01","02","01","02",4,"21","09","01",4,"08","01","05","06","01","04","01","202202",3,"1023",33742.9910038911,47928.0937254241,0,"09"
"9000013360","02",2017,"55",4,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001336002",8000,"02",5,"-1",4,"01","01","02","01","02",4,"21","09","01",4,"08","01","05","06","01","04","01","202202",3,"1023",33742.9910038911,47928.0937254241,0,"09"
"9000013360","03",2008,"20",4,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","03","900001336003",6500,"02",14,"-1",4,"01","01","02","01","02",4,"21","09","01",4,"08","01","05","06","01","04","01","202202",3,"1023",33742.9910038911,47928.0937254241,0,"09"
"9000013360","04",2003,"20",4,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","04","900001336004",5500,"02",19,"-1",4,"01","01","02","01","02",4,"21","09","01",4,"08","01","05","06","01","04","01","202202",3,"1023",33742.9910038911,47928.0937254241,0,"09"
"9000013362","01",2017,"98",2,"04","01","01","02","02","01","01","-1","-1","01","01","01","900001336201",8000,"02",5,"-1",2,"01","02","02","01","02",2,"22","09","01",4,"04","02","04","04","01","05","01","202202",2,"1023",16245.3081673493,22688.6263034745,0,"09"
"9000013362","02",2017,"23",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","02","02","900001336202",12000,"02",5,"08",2,"01","02","02","01","02",2,"22","09","01",4,"04","02","04","04","01","05","01","202202",2,"1023",16245.3081673493,22688.6263034745,0,"09"
"9000013366","01",2019,"48",3,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001336601",8000,"02",3,"-1",3,"02","01","02","01","02",3,"21","10","01",3,"10","01","05","06","01","04","01","202202",2,"1023",7587.09028721218,12444.8297809593,0,"10"
"9000013366","02",2016,"98",3,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001336602",12000,"02",6,"-1",3,"02","01","02","01","02",3,"21","10","01",3,"10","01","05","06","01","04","01","202202",2,"1023",7587.09028721218,12444.8297809593,0,"10"
"9000013366","03",2020,"48",3,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","03","900001336603",3500,"02",2,"-1",3,"02","01","02","01","02",3,"21","10","01",3,"10","01","05","06","01","04","01","202202",2,"1023",7587.09028721218,12444.8297809593,0,"10"
"9000013373","01",1996,"20",2,"04","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001337301",20,"02",26,"-1",1,"01","02","02","01","02",1,"23","05","01",1,"09","03","03","06","01","03","01","202202",1,"1023",5584.3827627132,6752.93870910219,0,"05"
"9000013373","02",2009,"48",2,"01","01","01","02","02","01","20","-1","-1","10","02","01","900001337302",3000,"02",13,"04",1,"01","02","02","01","02",1,"23","05","01",1,"09","03","03","06","01","03","01","202202",1,"1023",5584.3827627132,6752.93870910219,0,"05"
"9000013380","01",2020,"23",2,"04","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001338001",15000,"02",2,"-1",3,"01","02","02","01","02",2,"22","11","01",3,"10","02","04","04","01","05","01","202202",2,"1023",12249.7078595641,18271.7541963539,0,"11"
"9000013380","02",2019,"02",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001338002",12000,"02",3,"-1",3,"01","02","02","01","02",2,"22","11","01",3,"10","02","04","04","01","05","01","202202",2,"1023",12249.7078595641,18271.7541963539,0,"11"
"9000013382","01",2018,"37",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001338201",7000,"02",4,"-1",1,"03","01","02","01","02",1,"21","07","03",1,"01","01","05","03","01","04","01","202202",1,"1023",7727.81459080932,10446.4617526621,0,"07"
"9000013398","01",2019,"55",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001339801",300,"02",3,"-1",2,"03","02","02","01","02",2,"22","06","01",2,"02","02","04","05","01","05","01","202202",1,"1023",14737.6329264675,19602.0800306871,0,"06"
"9000013398","02",2004,"02",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001339802",12000,"02",18,"-1",2,"03","02","02","01","02",2,"22","06","01",2,"02","02","04","05","01","05","01","202202",1,"1023",14737.6329264675,19602.0800306871,0,"06"
"9000013411","01",2017,"49",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001341101",10000,"02",5,"-1",1,"03","01","02","01","02",1,"21","07","03",1,"01","01","05","05","01","04","01","202202",1,"1023",8415.37751490071,10935.9146398345,0,"07"
"9000013438","01",2015,"48",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001343801",20000,"02",7,"-1",2,"04","02","02","01","02",2,"22","06","01",3,"04","02","04","03","02","06","01","202202",2,"1023",6385.87650783,9091.02811500671,0,"06"
"9000013438","02",2018,"48",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001343802",8000,"02",4,"-1",2,"04","02","02","01","02",2,"22","06","01",3,"04","02","04","03","02","06","01","202202",2,"1023",6385.87650783,9091.02811500671,0,"06"
"9000013509","01",2000,"37",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001350901",9000,"02",22,"-1",2,"01","02","02","01","02",3,"23","03","01",3,"08","03","03","03","04","06","02","202202",1,"1024",17439.2019345192,23542.460392892,0,"03"
"9000013509","02",2010,"63",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","02","03","900001350902",4000,"02",12,"09",2,"01","02","02","01","02",3,"23","03","01",3,"08","03","03","03","04","06","02","202202",1,"1024",17439.2019345192,23542.460392892,0,"03"
"9000013512","01",2007,"35",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001351201",2500,"02",15,"-1",1,"01","02","02","01","02",1,"22","06","01",1,"01","02","04","01","01","03","01","202202",1,"1023",6335.44008732375,0,21234.2558015572,"06"
"9000013514","01",2017,"48",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001351401",1000,"02",5,"-1",1,"01","01","02","01","02",1,"21","04","01",1,"09","01","05","01","04","06","02","202202",0,"1024",4648.293023604,0,20011.519467519,"04"
"9000013519","01",2019,"13",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001351901",6000,"02",3,"-1",2,"02","01","02","01","02",2,"21","07","01",2,"10","01","05","03","01","04","01","202202",1,"1023",9463.79959723491,14098.2231014112,0,"07"
"9000013519","02",2013,"54",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001351902",5000,"02",9,"-1",2,"02","01","02","01","02",2,"21","07","01",2,"10","01","05","03","01","04","01","202202",1,"1023",9463.79959723491,14098.2231014112,0,"07"
"9000013525","01",2020,"48",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001352501",5000,"02",2,"-1",2,"01","01","02","01","02",2,"21","07","01",2,"10","01","05","02","01","04","01","202201",0,"1023",4576.25369352465,6408.30105744016,0,"07"
"9000013525","02",2015,"48",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001352502",3500,"02",7,"-1",2,"01","01","02","01","02",2,"21","07","01",2,"10","01","05","02","01","04","01","202201",0,"1023",4576.25369352465,6408.30105744016,0,"07"
"9000013533","01",2000,"49",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001353301",180000,"02",22,"-1",2,"03","02","02","01","02",2,"23","05","01",2,"02","03","02","06","01","02","01","202202",1,"1023",10836.20233995,14059.6252651156,0,"05"
"9000013533","02",2008,"51",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001353302",80,"02",14,"-1",2,"03","02","02","01","02",2,"23","05","01",2,"02","03","02","06","01","02","01","202202",1,"1023",10836.20233995,14059.6252651156,0,"05"
